,Unnamed: 0,date,title,class,viewCount,commentCount,likeCount,dislikeCount,ratio,sentiment,magnitude
45,45,2013-01-20,Joe Rogan Experience #71 - Al Madrigal,2,13832,8,136,9,15.111111111111107,0.14875000000000002,28.95625
46,46,2013-01-20,Joe Rogan Experience #72 - Ari Shaffir,2,13161,26,159,4,39.75,0.15961538461538466,35.84730769230769
47,47,2013-01-20,Joe Rogan Experience #73 - Bert Kreischer,2,65145,98,747,25,29.88,0.17618556701030927,45.77917525773195
48,48,2013-01-21,Joe Rogan Experience #74 - Allison Sciulla,2,13639,20,135,2,67.5,0.201,36.5375
49,49,2013-01-21,Joe Rogan Experience #75 - Sam Tripoli,2,11465,21,146,8,18.25,0.16666666666666669,48.6252380952381
50,50,2013-01-21,Joe Rogan Experience #76 - Bobby Lee,2,447819,1048,4200,191,21.98952879581152,0.12347776510832364,38.14955530216646
51,51,2013-01-21,Joe Rogan Experience #77 - Eddie Ifft,2,8383,12,105,3,35.0,0.12583333333333332,54.87750000000001
52,52,2013-01-21,Joe Rogan Experience #79 - Jon Lajoie,2,19778,47,313,5,62.6,0.13574468085106384,44.05808510638298
53,53,2013-01-21,Joe Rogan Experience #80 - Joey Diaz & Ari Shaffir,2,19002,15,154,3,51.33333333333334,0.26066666666666666,29.082666666666665
54,54,2013-01-21,Joe Rogan Experience #82 - Dave Foley,2,96022,284,1030,40,25.75,0.1750806451612903,51.60004032258063
55,55,2013-01-21,Joe Rogan Experience #83 - Bas Rutten,1,127150,206,1185,31,38.2258064516129,0.1403468208092485,41.82693641618497
56,56,2013-01-21,Joe Rogan Experience #84 - Duncan Trussell,2,64042,130,623,19,32.78947368421053,0.12442307692307696,41.120384615384616
57,57,2013-01-21,Joe Rogan Experience #87 - Dana Dearmond,4,42255,61,288,15,19.2,0.14789473684210522,30.538070175438598
58,58,2013-01-21,Joe Rogan Experience #88 - Andy Dick,2,188262,433,1346,76,17.710526315789473,0.11241558441558452,38.225064935064935
59,59,2013-01-21,Joe Rogan Experience #89 - Bryan Callen,2,26266,55,266,9,29.555555555555557,0.059423076923076926,33.28153846153847
60,60,2013-01-21,Joe Rogan Experience #90 - Joey Diaz,2,137889,295,1151,63,18.26984126984127,0.14018248175182474,34.29379562043794
61,61,2013-01-21,Joe Rogan Experience #91 - Bill Burr,2,570728,2436,4472,244,18.327868852459016,0.1008675799086758,53.149009132420105
62,62,2013-01-21,Joe Rogan Experience #93 - Eddie Bravo (Part 1),1,8783,14,110,1,110.0,0.1285714285714286,25.289285714285718
63,63,2013-01-21,Joe Rogan Experience #93 - Eddie Bravo (Part 2),1,11972,19,139,7,19.857142857142858,0.2157894736842105,35.247894736842106
64,64,2013-01-21,Joe Rogan Experience #94 - Joey Diaz (Part 1),2,15228,22,154,1,154.0,0.27,26.18227272727273
65,65,2013-01-21,Joe Rogan Experience #94 - Joey Diaz (Part 2),2,23610,43,246,10,24.6,0.1641860465116279,36.935116279069774
66,66,2013-01-21,Joe Rogan Experience #94 - Joey Diaz (Part 3),2,12452,15,124,5,24.8,0.2106666666666667,40.456666666666656
67,67,2013-01-21,Joe Rogan Experience #94 - Joey Diaz (Part 4),2,18329,28,209,1,209.0,0.1425,46.916785714285716
68,68,2013-01-21,Joe Rogan Experience #95 - Bert Kreischer,2,72771,94,696,29,24.0,0.1756043956043955,42.2078021978022
69,69,2013-01-21,Joe Rogan Experience #96 - Kevin Pereira,4,18764,78,264,9,29.33333333333333,0.14207547169811324,40.053396226415096
70,70,2013-01-21,Joe Rogan Experience #97 - Freddy Lockhart,2,10585,21,111,2,55.5,0.1338095238095238,33.10523809523809
71,71,2013-01-21,Joe Rogan Experience #98 - Daryl Wright & Brian Whitaker,1,7522,22,81,5,16.2,0.1731818181818182,41.69954545454546
72,72,2013-01-21,Joe Rogan Experience #100 - Brian Redban,2,29002,56,247,14,17.642857142857142,0.1287037037037037,31.57777777777777
73,73,2013-01-21,Joe Rogan Experience #101 - Adam Carolla (Part 1),2,32835,51,314,9,34.888888888888886,0.13823529411764707,47.48803921568627
74,74,2013-01-21,Joe Rogan Experience #101 - Adam Carolla (Part 2),2,9219,6,110,2,55.0,-0.061666666666666675,20.273333333333333
75,75,2013-01-21,Joe Rogan Experience #102 - John Heffron,2,8507,12,88,4,22.0,0.2300000000000001,50.276666666666664
76,76,2013-01-21,Joe Rogan Experience #103 - Duncan Trussell,2,72399,175,729,31,23.51612903225807,0.118875,46.505437500000006
77,77,2013-01-21,Joe Rogan Experience #105 - Bryan Callen (Part 1),2,19896,30,216,9,24.0,0.09233333333333336,54.401666666666664
78,78,2013-01-21,Joe Rogan Experience #105 - Bryan Callen (Part 2),2,7499,12,109,1,109.0,0.14666666666666667,45.52416666666666
79,79,2013-01-21,Joe Rogan Experience #106 - Steve Rannazzisi,2,17573,39,152,12,12.666666666666664,0.059743589743589766,34.36897435897437
80,80,2013-01-21,Joe Rogan Experience #107 - Doug Benson,2,30543,61,300,6,50.0,0.1476785714285715,49.63160714285714
81,81,2013-01-21,Joe Rogan Experience #108 - Joey Diaz,2,146783,264,1283,80,16.0375,0.14625514403292186,40.76485596707821
82,82,2013-01-21,Joe Rogan Experience #109 - Ari Shaffir,2,20549,75,220,13,16.923076923076927,0.06492307692307693,39.31507692307693
83,83,2013-01-21,Joe Rogan Experience #110 - Duncan Trussell,2,52252,116,559,26,21.5,0.10791304347826083,42.077826086956506
84,84,2013-01-21,Joe Rogan Experience #111 - Al Madrigal,2,16110,25,140,11,12.727272727272727,0.1136,32.897600000000004
85,85,2013-01-21,Joe Rogan Experience #112 - Cliff Bleszinski & Jon Christofaris,4,11317,21,119,6,19.83333333333333,0.15333333333333335,39.55952380952383
86,86,2013-01-21,Joe Rogan Experience #113 - Brian Posehn,2,24888,43,240,15,16.0,0.13139534883720932,40.37186046511629
87,87,2013-01-21,Joe Rogan Experience #114 - Neal Brennan,2,25677,33,216,20,10.8,0.15575757575757576,39.69848484848485
